step,episode,buffer_size,total_time,total_steps,ep_reward,ep_steps,ep_count,packages_lost,speed_mean,speed_max,BestLap,ep_bestLapTime,terminated,update_model_perf_mean,update_model_perf_max,update_model_perf_std,step_perf_mean,step_perf_max,step_perf_std,step_perf_q99,step_perf_> thres,action_perf_mean,action_perf_max,action_perf_std,actor_loss,critic_loss,critic1_quantile_loss,critic2_quantile_loss,alpha,alpha_loss,entropy,entropy_mean,q_pi_mean,algo
15105,45,15105,672.3091089725494,15240,0.0608058785109528,248,45,0,0.0204562937649297,0.2507170438766479,0.0,0.0,True,0.0113332603194633,0.0224604000104591,0.0013227810867043,0.0400067117406424,0.0412531000329181,0.0003301208260006,0.0405989959859289,1,0.0063408842128381,0.006902499939315,0.0001819398775973,-19.454042434692383,1.8691976070404053,0.935906171798706,0.9332914352416992,0.0411725267767906,0.0658486634492874,,1.4010274410247805,19.39634704589844,QRSAC
15352,46,15352,683.7159390449524,15490,0.0407916188398424,248,46,0,0.0137337721502732,0.2667557895183563,0.0,0.0,True,0.0115102032413479,0.0203535000327974,0.0015032353062914,0.0400336242920949,0.0409480000380426,0.000333461147435,0.0407752579404041,0,0.0064817404851453,0.0083019000012427,0.0003468952389461,-19.377073287963867,11.555171966552734,5.793614864349365,5.761557579040527,0.0388764850795269,0.0616785436868667,,1.413834571838379,19.32209587097168,QRSAC
15622,47,15622,695.9245584011078,15763,0.1596954634983506,271,47,0,0.0491592884397716,1.1217843294143677,0.0,0.0,True,0.011564436663563,0.0200704999733716,0.0016297582758061,0.0400286659253416,0.040989700006321,0.0003446055343811,0.0408071739855222,0,0.0064422259240894,0.0082127000205218,0.0002687378960969,-19.38978385925293,1.4389379024505615,0.6905649304389954,0.7483730316162109,0.036494493484497,0.0540206097066402,,1.5201125144958496,19.33429527282715,QRSAC
15869,48,15869,707.2500188350677,16013,0.0667901779021233,248,48,0,0.0224825220434028,0.4395758509635925,0.0,0.0,True,0.0115069372439002,0.0197744000470265,0.0013519595621256,0.0400281655866094,0.0416104999603703,0.0003753308732543,0.0409432560461573,2,0.0064412761132726,0.0080884000053629,0.0002895923888997,-18.73785781860352,4.007419109344482,2.0333971977233887,1.9740220308303835,0.0344437882304191,0.062767282128334,,1.1781058311462402,18.6972713470459,QRSAC
16116,49,16116,718.5795857906342,16263,0.0531766564011807,248,49,0,0.0179064671994579,0.3050667941570282,0.0,0.0,True,0.011616287042711,0.0207403999520465,0.0016750773467889,0.0400203939287844,0.0408886999357491,0.0003610428836626,0.0407810439751483,0,0.0064986441279704,0.0081867999397218,0.0002929664430199,-18.852859497070312,5.204979419708252,2.574777364730835,2.630202054977417,0.0324909538030624,0.059259220957756,,1.176569938659668,18.81462287902832,QRSAC
16363,50,16363,729.9084787368774,16513,0.1251051767571962,248,50,0,0.0421118586416395,0.7569562792778015,0.0,0.0,True,0.0115117032381589,0.0198537999531254,0.0013336404207192,0.0400322894740148,0.0410949999932199,0.0003756367774922,0.0410537860193289,4,0.0064868469621707,0.0085326000116765,0.0003572948701788,-18.645238876342773,2.1710753440856934,1.094783902168274,1.0762914419174194,0.0306362267583608,0.0604818873107433,,1.026262283325195,18.613792419433597,QRSAC
16610,51,16610,741.1954538822174,16763,0.0967826550818516,248,51,0,0.0325938535556375,0.6175013184547424,0.0,0.0,True,0.0114310757084542,0.0191516999620944,0.0012006770587806,0.0400299242922003,0.041195600060746,0.0003303874843666,0.040723199956119,2,0.0064752542518403,0.0084621000569313,0.0003645955992247,-18.545215606689453,1.6561321020126345,0.8375585079193115,0.8185735940933228,0.0288916118443012,0.0585425198078155,,0.9742028117179872,18.51706314086914,QRSAC
16938,52,16938,755.7685053348541,17094,0.756736078679223,329,52,0,0.1918766311385582,2.2457468509674072,0.0,0.0,True,0.0115953658575407,0.0203398999292403,0.0016550192526089,0.0400297881108311,0.0408522000070661,0.0003196979977374,0.0406552280520554,0,0.0064292292699087,0.0074505000375211,0.0002670122186651,-17.98858070373535,2.6033222675323486,1.3394112586975098,1.2639110088348389,0.026710232719779,0.0595553964376449,,0.7708743810653687,17.96798324584961,QRSAC
17185,53,17185,767.0921385288239,17344,0.0590000773325254,248,53,0,0.019849460444851,0.3150695860385895,0.0,0.0,True,0.0116023085082915,0.0209590001031756,0.0014608620677341,0.0400355854264916,0.041031000087969,0.0003227922788245,0.0406792019610293,1,0.0065459627507307,0.0088105000322684,0.0003564118677896,-18.116195678710938,10.853336334228516,5.395867347717285,5.457468509674072,0.0251906886696815,0.0436573773622512,,1.2673289775848389,18.08426284790039,QRSAC
17543,54,17543,782.8679149150848,17705,2.879268837214171,359,54,0,0.8047583570189399,4.345399379730225,0.0,0.0,True,0.0116327455327143,0.0199978000018745,0.0017267204227987,0.0400255312843966,0.0410337999928742,0.0003647609007115,0.0408442649792414,2,0.0064766095019876,0.0081793999997898,0.0003086805058297,-17.90570831298828,2.0211076736450195,1.072361707687378,0.948745846748352,0.0231407638639211,0.0451655276119709,,1.0487163066864014,17.88143539428711,QRSAC
